Year,Dota 2,Counter-Strike,League of Legends,Fortnite,PUBG Mobile,Honor of Kings,Valorant,Rainbow Six Siege,Rocket League,PUBG Battlegrounds
2016,469811,316943,1558415,0,0,0,0,0,0,0
2017,925375,1331781,2101737,0,0,0,0,137089,0,0
2018,1205979,1329096,2040118,1970982,0,1103,0,0,0,757875
2019,1965328,1205103,3981706,2334826,596824,1662,0,315240,0,492735
2020,508082,1002132,3884667,351576,1153865,27230,0,303155,0,118039
2021,2741514,2748434,4018728,294477,3801998,19567,1089068,306494,0,221903
2022,1750253,2113610,5147701,557722,903011,13500,1505804,272714,368721,275943
2023,1442274,1528724,6402760,722081,980123,14539,1444670,232287,468292,263656
2024,1513877,1853954,6856769,809854,985418,481212,1687848,521374,0,510997
2025,1785132,1789038,6752585,948106,1388918,696262,1473642,379375,397552,817769
