Year,Dota 2,Counter-Strike,League of Legends,Fortnite,PUBG Mobile,Honor of Kings,Valorant,Rainbow Six Siege,Rocket League,PUBG Battlegrounds,Year Total
2016,4547580,3795425,5296000,0,0,0,0,0,0,0,13638005
2017,35454882,13283333,11094375,0,0,0,0,1267247,0,0,61099837
2018,40492092,18417244,9908114,18054611,0,4676837,0,0,0,9130531,100679429
2019,46432321,18108953,9277694,51854970,4116644,6270410,0,4717152,0,8457848,149235992
2020,9933200,13911721,8217446,5347063,8992745,7217945,0,6534876,0,4914204,65069200
2021,49070764,17399777,8685745,5816359,22991026,13671456,7299908,8345070,0,14909149,148189254
2022,32631347,16287811,8307709,13791180,24859356,17854608,7432000,8846153,8842847,7426058,146279069
2023,31097357,20559065,8270195,20798903,22096013,17266019,9437282,9264172,8454436,6921035,154164477
2024,22778727,21780712,9335872,12862398,16525103,20576878,8871341,9628092,0,6868130,129227253
2025,22524137,30928467,14666714,10907975,12838111,20398984,10405945,8944190,8193017,7922235,147729775
