Year,Rank,Game,PrizePool,Players,Tournaments
2015,1,Dota 2,31036820.46,982,227
2015,2,League of Legends,7746984.89,1943,312
2015,3,Counter-Strike: Global Offensive,6297500.42,3038,721
2015,4,SMITE,3709088.73,252,42
2015,5,StarCraft II,3017759.24,501,690
2015,6,Call of Duty: Advanced Warfare,2484861.12,758,365
2015,7,Heroes of the Storm,2456969.68,666,289
2015,8,Hearthstone,2373998.95,567,253
2015,9,World of Tanks,1203054.52,251,20
2015,10,CrossFire,1116174.68,217,79
2015,11,Heroes of Newerth,810839.41,254,76
2015,12,Ultra Street Fighter IV,642578.64,148,123
2015,13,Super Smash Bros. Melee,514706.42,557,533
2015,14,World of WarCraft,470948.70,82,20
2015,15,Halo 2 Anniversary,378667.45,81,13
2015,16,FIFA Online 3,358301.71,28,6
2015,17,Super Smash Bros. for Wii U,274699.63,478,293
2015,18,Mortal Kombat X,232922.43,65,40
2015,19,WarCraft III,220517.09,56,58
2015,20,Attack on Titan Tribute Game,220200.00,28,15
2015,21,Point Blank,206001.82,180,18
2015,22,Age of Empires II,204806.83,236,20
2015,23,Vainglory,193392.54,83,4
2015,24,H1Z1,173328.00,20,2
2015,25,StarCraft: Brood War,159155.19,84,56
2016,1,Dota 2,37464037.33,896,153
2016,2,Counter-Strike: Global Offensive,17273315.45,4412,864
2016,3,League of Legends,10519032.01,1664,182
2016,4,Heroes of the Storm,4664349.10,394,69
2016,5,Call of Duty: Black Ops III,3862185.84,371,55
2016,6,Hearthstone,3491549.19,651,145
2016,7,Halo 5: Guardians,3412490.03,176,36
2016,8,StarCraft II,3182718.35,413,650
2016,9,Overwatch,2018742.37,1240,268
2016,10,SMITE,1638242.04,316,21
2016,11,CrossFire,1621619.26,213,24
2016,12,Street Fighter V,885528.88,143,63
2016,13,FIFA Online 3,835082.40,54,3
2016,14,World of Tanks,831000.00,180,5
2016,15,Super Smash Bros. Melee,674499.14,757,750
2016,16,Rocket League,508705.76,381,388
2016,17,Gears of War 4,501285.00,77,16
2016,18,Call of Duty Online,454864.20,0,3
2016,19,World of WarCraft,453000.00,72,4
2016,20,CrossFire Mobile,438995.70,54,1
2016,21,Super Smash Bros. for Wii U,429999.07,577,283
2016,22,Vainglory,424628.65,165,21
2016,23,WarCraft III,420383.19,94,111
2016,24,Arena of Valor,358329.50,25,2
2016,25,Mortal Kombat X,330129.99,45,21
2016,26,Rainbow Six Siege,320680.03,123,26
2017,1,Dota 2,38124599.32,1056,168
2017,2,Counter-Strike: Global Offensive,19295990.90,4838,915
2017,3,League of Legends,12261870.43,1973,193
2017,4,Heroes of the Storm,5444449.54,441,41
2017,5,Call of Duty: Infinite Warfare,4041684.07,323,80
2017,6,Hearthstone,3497169.85,715,133
2017,7,Overwatch,3489158.01,1608,285
2017,8,StarCraft II,3416343.85,391,654
2017,9,CrossFire,2429468.74,240,41
2017,10,Arena of Valor,2197021.33,358,15
2017,11,Halo 5: Guardians,1748000.00,111,14
2017,12,Rocket League,1594600.81,473,415
2017,13,SMITE,1567900.00,143,8
2017,14,H1Z1,1551550.00,88,8
2017,15,Quake Champions,1482852.31,166,72
2017,16,FIFA 17,1452306.64,129,44
2017,17,Street Fighter V,1370358.06,162,58
2017,18,World of Tanks,1216000.00,142,7
2017,19,Gears of War 4,1094500.00,100,43
2017,20,PLAYERUNKNOWN'S BATTLEGROUNDS,1007803.60,193,14
2017,21,Rainbow Six Siege,1007150.04,397,34
2018,1,Dota 2,41549360.85,1192,183
2018,2,Counter-Strike: Global Offensive,23327665.79,4690,1026
2018,3,Fortnite,19933737.00,1443,179
2018,4,League of Legends,14706162.44,1978,196
2018,5,PLAYERUNKNOWN'S BATTLEGROUNDS,8809745.36,1683,136
2018,6,Arena of Valor,7076330.62,662,29
2018,7,Overwatch,6615546.33,1547,120
2018,8,Heroes of the Storm,5277279.76,368,34
2018,9,Hearthstone,4757534.75,882,154
2018,10,Call of Duty: WWII,4302666.69,270,51
2018,11,StarCraft II,3980177.66,353,462
2018,12,Rocket League,2548272.86,678,332
2018,13,FIFA 18,2189152.14,223,40
2018,14,CrossFire,2171222.06,218,30
2018,15,Rainbow Six Siege,2047522.85,689,76
2018,16,SMITE,1968500.00,139,11
2018,17,Halo 5: Guardians,1938750.00,107,50
2018,18,Street Fighter V: Arcade Edition,1407978.67,140,51
2018,19,Shadowverse,1310000.00,24,1
2018,20,Gears of War 4,1040000.00,98,43
2019,1,Fortnite,80688259.01,3480,504
2019,2,Dota 2,47108906.81,1442,234
2019,3,Counter-Strike: Global Offensive,22305078.53,4014,956
2019,4,PLAYERUNKNOWN'S BATTLEGROUNDS,11603431.56,1706,148
2019,5,Arena of Valor,10721766.60,597,28
2019,6,League of Legends,10412069.35,2176,210
2019,7,Overwatch,9593646.85,1258,62
2019,8,Call of Duty: Black Ops 4,6391689.00,343,45
2019,9,Rainbow Six Siege,5151238.68,1190,122
2019,10,Hearthstone,4521390.62,660,112
2019,11,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,4201598.78,923,34
2019,12,Rocket League,3316499.96,913,420
2019,13,StarCraft II,3174769.59,402,387
2019,14,Magic: The Gathering Arena,2998000.00,174,37
2019,15,Apex Legends,2863382.64,686,80
2019,16,FIFA 19,2724631.44,279,32
2019,17,Shadowverse,1761477.09,184,35
2019,18,CrossFire,1580743.16,144,14
2019,19,Clash of Clans,1455727.00,87,21
2019,20,Mobile Legends: Bang Bang,1397507.01,390,15
2020,1,Fortnite,18527792.74,2635,377
2020,2,Counter-Strike: Global Offensive,16088293.07,3284,630
2020,3,Arena of Valor,10195179.42,426,22
2020,4,Dota 2,10126576.47,1096,174
2020,5,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,8899777.68,1171,39
2020,6,League of Legends,8767906.04,1943,123
2020,7,Overwatch,7293708.00,752,50
2020,8,Call of Duty: Modern Warfare,7152172.00,348,71
2020,9,PLAYERUNKNOWN'S BATTLEGROUNDS,6734990.84,1295,122
2020,10,Rainbow Six Siege,6666964.75,1150,100
2020,11,Hearthstone,4634414.54,494,64
2020,12,Rocket League,4428752.13,1519,800
2020,13,Call of Duty: Warzone,2826407.12,610,106
2020,14,Free Fire,2539917.95,553,20
2020,15,VALORANT,2503127.60,2420,371
2020,16,CrossFire,2473598.70,172,13
2020,17,Apex Legends,2270662.23,667,219
2020,18,StarCraft II,2197004.27,349,489
2020,19,Magic: The Gathering Arena,2186000.00,103,12
2020,20,FIFA 20,2122284.60,328,47
2021,1,Dota 2,47964064.37,1075,100
2021,2,Fortnite,23032953.30,1431,214
2021,3,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,21904037.55,1821,87
2021,4,Counter-Strike: Global Offensive,21869853.46,3501,570
2021,5,Arena of Valor,17929981.25,514,20
2021,6,PLAYERUNKNOWN'S BATTLEGROUNDS,16291259.60,939,81
2021,7,Rainbow Six Siege,9257505.05,1030,101
2021,8,League of Legends,8421299.16,1676,110
2021,9,VALORANT,7108864.35,2838,397
2021,10,Call of Duty: Black Ops Cold War,6293000.00,247,77
2021,11,Call of Duty: Warzone,6156202.01,808,189
