Year,Dota 2,Counter-Strike,League of Legends,Fortnite,PUBG Mobile,Arena of Valor,VALORANT,Rainbow Six Siege,Rocket League,PUBG,Overwatch,Hearthstone,Apex Legends
2015,982,3038,1943,0,0,0,0,0,0,0,0,567,0
2016,896,4412,1664,0,0,25,0,123,381,0,1240,651,0
2017,1056,4838,1973,0,0,358,0,397,473,193,1608,715,0
2018,1192,4690,1978,1443,0,662,0,689,678,1683,1547,882,0
2019,1442,4014,2176,3480,923,597,0,1190,913,1706,1258,660,686
2020,1096,3284,1943,2635,1171,426,2420,1150,1519,1295,752,494,667
2021,1075,3501,1676,1431,1821,514,2838,1030,1812,939,633,535,865
2022,1081,3185,1500,1702,1719,752,2675,685,2106,900,694,0,934
2023,1015,4385,1472,3276,1636,653,3055,534,1502,566,968,0,667
2024,767,2470,1176,1415,522,523,1819,339,4257,523,509,0,341
2025,252,3060,166,2323,150,124,149,100,4531,0,0,0,182
