Year,Dota 2,Counter-Strike,League of Legends,Fortnite,PUBG Mobile,Arena of Valor,VALORANT,Rainbow Six Siege,Rocket League,PUBG,Overwatch,Hearthstone,Apex Legends
2015,227,721,312,0,0,0,0,0,0,0,0,253,0
2016,153,864,182,0,0,2,0,26,388,0,268,145,0
2017,168,915,193,0,0,15,0,34,415,14,285,133,0
2018,183,1026,196,179,0,29,0,76,332,136,120,154,0
2019,234,956,210,504,34,28,0,122,420,148,62,112,80
2020,174,630,123,377,39,22,371,100,800,122,50,64,219
2021,100,570,110,214,87,20,397,101,880,81,43,72,225
2022,126,563,102,404,79,84,229,72,733,69,41,42,164
2023,126,523,118,461,73,25,232,25,454,42,77,0,37
2024,91,365,87,200,31,13,97,16,462,30,30,0,12
2025,16,283,10,238,2,1,5,1,295,0,0,0,3
